cab_type,vendor_id,pickup_datetime,dropoff_datetime,rate_code_id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,congestion_surcharge,total_amount,payment_type,trip_type,pickup_location_id,dropoff_location_id
yellow,VTS,2018-01-01T00:00:00.000000Z,2018-01-01T00:03:42.000000Z,Standard rate,,,,,1,0.820000000000,5.0,0.5,0.5,1.890000000000,0.0,0.0,0.3,0.0,8.19,Card,na,90,113
green,VTS,2018-01-01T00:00:01.000000Z,2018-01-01T00:17:40.000000Z,Standard rate,,,,,2,7.4,22.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,23.8,Cash,Street hail,66,129
green,VTS,2018-01-01T00:00:02.000000Z,2018-01-01T00:11:19.000000Z,Standard rate,,,,,1,2.19,10.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,11.3,Cash,Street hail,49,188
yellow,VTS,2018-01-01T00:00:02.000000Z,2018-01-01T00:08:48.000000Z,Standard rate,,,,,1,1.36,7.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,8.8,Cash,na,68,249
yellow,VTS,2018-01-01T00:00:02.000000Z,2018-01-01T00:27:30.000000Z,Standard rate,,,,,1,19.01,51.0,0.5,0.5,5.23,0.0,0.0,0.3,0.0,57.53,Card,na,132,65
yellow,VTS,2018-01-01T00:00:03.000000Z,2018-01-01T00:03:52.000000Z,Standard rate,,,,,3,0.99,5.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,6.8,Cash,na,236,43
yellow,CMT,2018-01-01T00:00:03.000000Z,2018-01-01T00:21:06.000000Z,Standard rate,,,,,1,6.100000000000,20.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,21.8,Cash,na,255,236
green,VTS,2018-01-01T00:00:04.000000Z,2018-01-01T00:03:24.000000Z,Standard rate,,,,,5,0.68,4.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,5.8,Cash,Street hail,7,7
yellow,VTS,2018-01-01T00:00:04.000000Z,2018-01-01T00:08:13.000000Z,Standard rate,,,,,1,1.59,8.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,9.3,Cash,na,141,161
yellow,CMT,2018-01-01T00:00:04.000000Z,2018-01-01T00:13:24.000000Z,Standard rate,,,,,1,3.6,13.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,14.8,Cash,na,37,157
